i,0,1,2,3,label
0,152.21302727904754,113.1051843253268,97.2777704967138,h,0
1,81.49907351176509,81.49170831974668,63.64633063951515,h,1
2,241.17015422491662,244.81007892263727,245.61689957279572,h,0
3,186.46431708387144,144.33473320158555,121.7662768994214,h,0
4,111.10871988690525,97.2149654684744,91.86199630213073,h,0
5,60.401020046903994,70.99824629148911,44.92460662233739,h,1
6,41.78063425860837,49.94060117937492,31.391269955406443,h,1
7,134.59503828033905,127.30462308597379,129.05212014133517,h,0
8,194.2232390258373,196.83403820915527,197.65845121777562,h,0
9,164.10607023342624,159.7867581649491,157.80997161857954,h,0
10,100.02080347356728,96.24924121068484,91.72980777338303,b,0
11,197.37833401727667,170.80001492146567,159.82456074902723,b,0
12,36.24906831309056,46.755858031713466,54.165576366311385,b,0
13,125.54573148350292,117.11432870881546,111.74227409526691,b,0
14,79.68670929751552,80.67415006670032,71.01291193203498,b,0
15,41.38561144355375,59.949163238606936,33.02159685860655,b,1
16,156.41488534066752,141.4807172229814,135.13810988031244,b,0
17,17.313742088944963,29.302414641027383,30.292578707601102,b,0
18,214.02960743490428,195.80661215782038,185.1188360164221,b,0
19,59.84241103850957,65.89374546114735,58.622654926143426,b,1
20,117.32862799675124,86.5313551037842,79.73111652337211,d,0
21,174.70119963088138,166.90682866808785,161.49526299601584,d,0
22,44.56487866817274,41.097354069919945,30.319387136777436,d,1
23,235.86624308484275,233.63279837869064,230.93963959031024,d,0
24,166.42207812949042,110.40831124030257,94.95777302201631,d,0
25,82.38328778646303,65.11755307969997,57.212465839809546,d,0
26,149.7708763166454,138.8543815832234,134.30215007056836,d,0
27,203.9948842788583,143.32892322889228,122.81862122495754,d,0
28,201.14016172506595,196.16660411478222,192.54614623494396,d,0
29,124.78870584779435,112.42129097006608,108.30103052407262,d,0
30,123.04321708660282,96.91220709876822,86.3182522466611,e,0
31,167.92489060150197,158.21411621276033,148.85888141425465,e,0
32,78.74311836410016,71.85235941802611,52.491427447881584,e,1
33,199.00561509098367,186.73810921904072,177.35320023489862,e,0
34,69.65634563797093,95.90157554692058,84.57839951635714,e,0
35,48.74873201532438,42.28596936136597,26.063347479522136,e,1
36,177.6648063153867,127.62673031026144,109.7524876078616,e,0
37,95.62134848599297,112.12146289375268,101.98272442986783,e,0
38,132.72306860182206,131.195997475899,122.98287208146905,e,0
39,237.01095582135724,227.91472225513783,216.02487267560562,e,0
40,180.0707855848341,133.1621862422853,122.53955574672354,c,0
41,33.0329695952734,30.858608468574246,26.618961014768146,c,0
42,119.83098666665884,95.64151111111597,92.91912888889243,c,0
43,190.38553832411435,190.1389048439498,191.43314825455906,c,0
44,167.42906248634046,161.1945308052771,161.41388974036988,c,0
45,152.0823416826084,111.33527502704915,102.44855205124725,c,0
46,225.02390555108067,226.94896238176042,228.48947715774983,c,0
47,135.95461002352675,133.15574643761275,134.8508234562815,c,0
48,63.50321797657739,58.2807546614738,49.40678901109831,c,0
49,89.6817373373184,78.45887356618613,76.30016754738332,c,0
50,47.5824000411193,53.556679797105446,37.052058391844184,g,1
51,150.37977534115075,146.8728988498849,145.86003056219133,g,0
52,105.47564344691732,96.57470851736467,92.32866128705813,g,0
53,231.31434357665665,236.25367614685604,237.46323853131042,g,0
54,126.76738647190037,122.46276595744668,121.40510876469212,g,0
55,198.40919333033753,198.84314041072236,198.46813236331946,g,0
56,78.10622372396918,76.48446033553074,61.20808612623496,g,1
57,153.736656505895,112.41547626162384,99.50893550894274,g,0
58,176.62452641470222,141.29260752279885,125.91637620101696,g,0
59,175.33512966537296,171.16331717417359,169.40283334116486,g,0
60,123.52967223038186,104.86449883247292,97.93003545792916,a,0
61,186.17161387634778,173.0825942685096,163.18365007537457,a,0
62,69.0082422505255,68.34462163296214,55.40372095796165,a,1
63,157.8428741260114,139.16730137620206,129.89977634044908,a,0
64,140.414699007418,122.90331650801178,115.2812764660064,a,0
65,237.50609354412808,236.68412384715816,230.80138339921245,a,0
66,97.99753725959148,87.88639548217955,79.37302025387866,a,0
67,39.39512640879636,45.53761803229594,32.78263783122952,a,1
68,203.61993167020194,198.1951266679583,192.40733578287893,a,0
69,164.87292963140828,155.59095260892107,148.7239588319478,a,0
70,42.61583169120621,42.5393602834292,25.91222308469073,f,1
71,180.08622701070394,167.8238402415217,155.3183845731483,f,0
72,97.42306978039919,88.68821672314957,72.26860578485724,f,0
73,214.66331318590176,200.26642277715644,184.1627564815877,f,0
74,75.67563488760848,72.42242575630905,52.453198723293724,f,1
75,147.94075617744997,135.55360391650734,126.42406800966637,f,0
76,239.19394872725593,233.3767551408444,220.83023824622546,f,0
77,122.29829259072307,108.88139490928077,95.31946194557031,f,0
78,57.87850147002666,57.35473746861877,39.29606248083281,f,1
79,23.83089857720934,24.631324659481805,10.621661721075924,f,1
